,all tokens,in hedo,scores,not in hedo,category,weights,happy category,all_ind,Big4,normed mean happiness,gender category
CuteClumsyGirl,"['Cute', 'Clumsy', 'Girl']","['cute', 'girl']","[7.52, 7.0]",['clumsy'],,"[2, 2]",happy,"['Adorkable', 'AlwaysFemale', 'CerebusRetcon', 'CharacterFlawIndex', 'CuteMonsterGirl', 'DeconstructedCharacterArchetype', 'DelicateIsBeautiful', 'DisabilitySuperpower', 'DisasterDominoes', 'Fanservice', 'Fanvid', 'FiveManBand', 'TheFool', 'GenreKiller', 'HaremGenre', 'MagicalGirlTropes', 'MasculineGirlFeminineBoy', 'MemeticPersonalityChange', 'Moe', 'NakedPeopleAreFunny', 'ObfuscatingStupidity', 'OutdatedByCanon', 'PurityPersonified', 'RagtagBunchOfMisfits', 'RightBehindMe', 'RuleOfCute', 'SchoolgirlSeries', 'SheIsNotMyGirlfriend', 'ShipMates', 'ShootTheHostage', 'SpotlightStealingSquad', 'TheUnfairSex', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",7.26,female
DirtyOldMan,"['Dirty', 'Old', 'Man']","['dirty', 'old']","[3.2, 3.98]",['man'],,"[-2, -1]",not happy,"['ActuallyPrettyFunny', 'AdaptationalHeroism', 'TheAllegedCar', 'AlwaysMale', 'BMovie', 'TheCameo', 'CharactersAsDevice', 'ComedicReliefCharacters', 'CoolOldGuy', 'CrackPairing', 'CuteMonsterGirl', 'DistaffCounterpart', 'DudeNotFunny', 'Elders', 'EntertaininglyWrong', 'EvenEvilHasStandards', 'EvilIsSexy', 'HalloweenEpisode', 'TheLastOfTheseIsNotLikeTheOthers', 'MaleGaze', 'MarshmallowHell', 'MemeticMolester', 'OverdosedTropes', 'PsychologicalProjection', 'PuppyDogEyes', 'RaceFetish', 'SchoolgirlSeries', 'SexualHarassmentAndRapeTropes', 'TeenPregnancy', 'ThisIndexIsAJoke', 'TropesAboutPerverts', 'UrbanLegendOfZelda', 'VillainousCrush', 'WeaksauceWeakness', 'WeirdnessMagnet']","['NarrativeTropes', 'TopicalTropes']",3.59,male
UnstablePoweredWoman,"['Unstable', 'Powered', 'Woman']",['woman'],[6.84],"['unstable', 'powered']",TopicalTropes,[1],happy,"['AlwaysFemale', 'EmotionTropes', 'MadnessTropes', 'Power', 'WomanlinessAsPathos', 'WomenAreDelicate']",['TopicalTropes'],6.84,female
ManChild,"['Man', 'Child']",['child'],[7.24],['man'],,[2],happy,"['AcceptableHobbyTargets', 'TheAce', 'AdaptationPersonalityChange', 'AgeDissonantIndex', 'AmazonChaser', 'AmbiguousDisorder', 'AsYouKnow', 'BeamMeUpScotty', 'TheBerserker', 'BewareTheSillyOnes', 'BigScrewedUpFamily', 'BrokenPedestal', 'BromanticComedy', 'TheBully', 'BunnyEarsLawyer', 'CainAndAbel', 'CharacterExaggeration', 'CharacterFlawIndex', 'CharacterizationMarchesOn', 'CharactersAsDevice', 'Chuunibyou', 'ComedyTropes', 'ComicBookTime', 'ComingOfAgeStory', 'CrackPairing', 'CrouchingMoronHiddenBadass', 'CursedWithAwesome', 'DecoyProtagonist', 'DomesticAbuse', 'DoubleStandard', 'DudeNotFunny', 'EasterEgg', 'EuropeansAreKinky', 'EvilCannotComprehendGood', 'FamilyUnfriendlyAesop', 'Flanderization', 'Foil', 'ForgottenTrope', 'FriendToAllChildren', 'GenderDynamicsIndex', 'GiveGeeksAChance', 'GroceryStoreEpisode', 'HardTruthAesop', 'IdiotHero', 'InNameOnly', 'IncestSubtext', 'Iyashikei', 'Jossed', 'LamePunReaction', 'LotusEaterMachine', 'LoveRedeems', 'MissingMom', 'MomentKiller', 'NightmareFuelStationAttendant', 'OnlySaneMan', 'OverdosedTropes', 'PeripheryDemographic', 'PlantPerson', 'PsychopathicManchild', 'RagtagBunchOfMisfits', 'RonTheDeathEater', 'RootingForTheEmpire', 'SchoolgirlSeries', 'ShipMates', 'SophisticatedAsHell', 'StockYuck', 'StockholmSyndrome', 'StraightMan', 'Telenovela', 'ThatCameOutWrong', 'TooCoolToLive', 'TotemPoleTrench', 'Transgender', 'UnintentionallySympathetic', 'WakeUpCallBoss', 'WereStillRelevantDammit', 'Wimpification']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",7.24,male
GiantWoman,"['Giant', 'Woman']",['woman'],[6.84],['giant'],,[1],happy,"['AlbumSingle', 'AlwaysFemale', 'AssShove', 'BiggerIsBetter', 'CuteMonsterGirl', 'Fanservice', 'FanserviceCharacters', 'GrowlingGut', 'HeightTropes', 'KillEmAll', 'MaleGaze', 'MarshmallowHell', 'SpeculativeFictionTropes', 'Stripperiffic', 'ThisIndexIsNotToScale', 'TooDumbToLive', 'WomenAreDelicate']","['GenreTropes', 'TopicalTropes']",6.84,female
SmallGirlBigGun,"['Small', 'Girl', 'Big', 'Gun']","['girl', 'gun']","[7.0, 2.82]","['small', 'big']",TopicalTropes,"[2, -3]",not happy,"['ActionGirl', 'AlwaysFemale', 'BFG', 'CuteBruiser', 'GunsAndGunplayTropes', 'ImprobableAimingSkills', 'MagicKnight', 'MoreDakka', 'MoreThanMeetsTheEye', 'ReassignedToAntarctica', 'TinyTropes']",['TopicalTropes'],4.91,female
PrettyPrincessPowerhouse,"['Pretty', 'Princess', 'Powerhouse']","['pretty', 'princess']","[7.32, 7.08]",['powerhouse'],,"[2, 2]",happy,"['ActionGirl', 'AlwaysFemale', 'BadassFamily', 'TheBeautifulTropes', 'CuteMonsterGirl', 'DaintyCombat', 'GirlyGirl', 'HiddenBadass', 'LadyOfWar', 'ListOfBadassTropes', 'PinkMeansFeminine', 'PrincessTropes', 'RoyalsWhoActuallyDoSomething', 'RuleOfGlamorous', 'TomboyAndGirlyGirl', 'TrailersAlwaysSpoil', 'WomenAreDelicate']",[],7.2,female
TopWife,"['Top', 'Wife']","['top', 'wife']","[6.76, 6.62]",[],,"[1, 1]",happy,"['AlwaysFemale', 'HaremGenre', 'LoveTropes', 'MarriageTropes', 'PoliticsTropes', 'Polyamory']","['GenreTropes', 'TopicalTropes']",6.69,female
LazyHusband,"['Lazy', 'Husband']","['lazy', 'husband']","[3.28, 6.62]",[],,"[-2, 1]",not happy,"['AdultsAreUseless', 'AlwaysMale', 'ApathyIndex', 'CharacterFlawIndex', 'DomesticAbuse', 'DysfunctionalFamilyIndex', 'MarriageTropes', 'MenAreTough']","['NarrativeTropes', 'TopicalTropes']",4.95,male
HardDrinkingPartyGirl,"['Hard', 'Drinking', 'Party', 'Girl']","['hard', 'party', 'girl']","[4.1, 7.58, 7.0]",['drinking'],,"[-1, 2, 2]",happy,"['AdaptationPersonalityChange', 'AlwaysFemale', 'CharactersAsDevice', 'TheComicallySerious', 'DeconstructedTrope', 'DoubleMeaningTitle', 'GenreTurningPoint', 'HardDrinkingTropes', 'HardHead', 'HaremGenre', 'HotSpringsEpisode', 'Jossed', 'LifeImitatesArt', 'LikeAnOldMarriedCouple', 'MasculineGirlFeminineBoy', 'ObfuscatingStupidity', 'PerpSweating', 'ThePeteBest', 'QueerRomance', 'RoyalsWhoActuallyDoSomething', 'StoryBreakerPower', 'TrueCompanions', 'TurnOfTheMillennium', 'VisualPun', 'WeirdnessMagnet', 'WhoWantsToLiveForever', 'WomenAreDelicate', 'YourMom']","['NarrativeTropes', 'TopicalTropes']",6.23,female
PrettyBoy,"['Pretty', 'Boy']",['pretty'],[7.32],['boy'],,[2],happy,"['APrettyBoyIndex', 'AlwaysMale', 'AttractionTropes', 'TheBeautifulTropes', 'BeautyEqualsGoodness', 'CharactersAsDevice', 'ChickMagnet', 'Chuunibyou', 'CluelessChickMagnet', 'ContrastingSequelMainCharacter', 'CuteMonsterGirl', 'DelicateIsBeautiful', 'DistaffCounterpart', 'DivergentCharacterEvolution', 'EvenTheGuysWantHim', 'EvilIsSexy', 'ExpositoryHairstyles', 'GenderReveal', 'HairMetal', 'HollywoodHypeMachine', 'InTouchWithHisFeminineSide', 'LongHairIsFeminine', 'MasculineGirlFeminineBoy', 'MasculinityTropes', 'MenAreTough', 'MistakenForGay', 'MrFanservice', 'NonStandardCharacterDesign', 'PeripheryDemographic', 'PopPunk', 'PopularityPolynomial', 'PowerGlows', 'QueerAsTropes', 'RagtagBunchOfMisfits', 'RomanceNovelTropes', 'SatanicArchetype', 'SayMyName', 'SquarePegRoundTrope', 'StealthHiBye', 'TurnOfTheMillennium', 'VillainousCrush', 'VisualKei', 'VocalDissonance', 'WhosLaughingNow', 'Wimpification']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",7.32,male
BeautifulSlaveGirl,"['Beautiful', 'Slave', 'Girl']","['beautiful', 'slave', 'girl']","[7.92, 2.06, 7.0]",[],TopicalTropes,"[3, -3, 2]",happy,"['ASlaveToTheIndex', 'AlwaysFemale', 'TheBeautifulTropes', 'Dehumanization', 'DelicateIsBeautiful', 'EvilIsSexy', 'TheGuardsMustBeCrazy', 'HappinessInSlavery', 'LoveInterests', 'SpellMyNameWithAThe', 'ThudAndBlunder', 'TragicKeepsake', 'WomanlinessAsPathos', 'WomenAreDelicate']",['TopicalTropes'],5.66,female
BlackMagicianGirl,"['Black', 'Magician', 'Girl']",['girl'],[7.0],"['black', 'magician']",,[2],happy,"['ActionGirl', 'AlwaysFemale', 'BadassFamily', 'BrattyHalfPint', 'CharactersAsDevice', 'ChronicHeroSyndrome', 'Chuunibyou', 'GoMadFromTheRevelation', 'LadyOfWar', 'MasculineGirlFeminineBoy', 'PlayingWithFire', 'VideogameCharacters', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",7.0,female
InnocentFlowerGirl,"['Innocent', 'Flower', 'Girl']","['flower', 'girl']","[7.88, 7.0]",['innocent'],,"[3, 2]",happy,"['AlwaysFemale', 'CharactersAsDevice', 'DelicateIsBeautiful', 'FemininityTropes', 'FiveManBand', 'FlowerGardenIndex', 'GirlyGirl', 'MonoNoAware', 'OccupationTropes', 'PinkMeansFeminine', 'PottyEmergency', 'StarCrossedLovers', 'TropesOfInnocence', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",7.44,female
AllWomenArePrudes,"['All', 'Women', 'Are', 'Prudes']",['women'],[7.12],"['all', 'are', 'prudes']",,[2],happy,"['ADateWithRosiePalms', 'AcceptableFeminineGoalsAndTraits', 'AgeInappropriateArt', 'AlwaysFemale', 'Analysis', 'AttractionToOutliers', 'CharacterExaggeration', 'CyclicTrope', 'DiscreditedTrope', 'DoubleStandard', 'FairForItsDay', 'GenderDynamicsIndex', 'IndexOfGothicHorrorTropes', 'MenAreTough', 'PeripheryDemographic', 'SexTropes', 'Stereotype', 'TropesInAggregate', 'UnbuiltTrope', 'WomanlinessAsPathos', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",7.12,female
GoodPrincessEvilQueen,"['Good', 'Princess', 'Evil', 'Queen']","['good', 'princess', 'evil']","[7.2, 7.08, 1.9]",['queen'],,"[2, 2, -3]",happy,"['AlwaysFemale', 'FairyTaleTropes', 'GoodAndEvilForYourConvenience', 'PrincessTropes', 'RoyaltyAndNobilityTropes', 'WomanlinessAsPathos', 'WomenAreDelicate']","['GenreTropes', 'TopicalTropes']",5.39,female
PluckyGirl,"['Plucky', 'Girl']",['girl'],[7.0],['plucky'],,[2],happy,"['ActionGirl', 'AdaptationExpansion', 'AdaptationPersonalityChange', 'AdaptationalBadass', 'AdaptationalJerkass', 'AllOfTheOtherReindeer', 'AlwaysFemale', 'BestKnownForTheFanservice', 'BraveryTropes', 'BreakTheCutie', 'CharacterExaggeration', 'CharacterizationMarchesOn', 'CharactersAsDevice', 'ChildrensLiterature', 'ClingyJealousGirl', 'CluelessChickMagnet', 'CombatPragmatist', 'CoolHorse', 'CrackPairing', 'DamselInDistress', 'DeconstructedCharacterArchetype', 'DeconstructedTrope', 'Determinator', 'DivergentCharacterEvolution', 'FairForItsDay', 'FairytaleMotifs', 'FantasyWebcomics', 'FourPhilosophyEnsemble', 'FranchiseOriginalSin', 'FriendToAllChildren', 'HeroTropes', 'Heroes', 'HeroicSpirit', 'HunterOfMonsters', 'IdealismTropes', 'TheIdealist', 'InHarmsWay', 'InNameOnly', 'IronWoobie', 'LaResistance', 'LadyOfWar', 'ListOfBadassTropes', 'ManOfAThousandVoices', 'MemeticLoser', 'TheNewTens', 'NormalPeople', 'OOCIsSeriousBusiness', 'OverdosedTropes', 'PeripheryDemographic', 'SacrificialLamb', 'SingleWomanSeeksGoodMan', 'SliceOfLifeWebcomics', 'SpiritualAntithesis', 'StarCrossedLovers', 'StayInTheKitchen', 'ThanatosGambit', 'UnbuiltTrope', 'VideogameCharacters', 'WomenAreDelicate', 'YamatoNadeshiko', 'Youngsters']","['NarrativeTropes', 'TopicalTropes']",7.0,female
GrumpyOldMan,"['Grumpy', 'Old', 'Man']",['old'],[3.98],"['grumpy', 'man']",,[-1],not happy,"['AllLovingHero', 'TheAllegedCar', 'AnachronicOrder', 'AskAStupidQuestion', 'TheBully', 'CharactersAsDevice', 'ClarkKenting', 'ComedicReliefCharacters', 'TheComicallySerious', 'ComingOfAgeStory', 'ComplainingIndex', 'CoolOldGuy', 'DependingOnTheWriter', 'DumpStat', 'Elders', 'InMemoriam', 'TheJerkIndex', 'LargeHam', 'MemeticLoser', 'MenAreTough', 'MoreDakka', 'PerpetualFrowner', 'PlayingWithFire', 'PoliticallyIncorrectVillain', 'PsychopathicManchild', 'Radio', 'RecordedAndStandUpComedy', 'SelfDemonstratingArticle', 'ShapedLikeItself', 'SophisticatedAsHell', 'SpiritualAntithesis', 'ThanatosGambit', 'WouldHitAGirl', 'YouAreNotAlone']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",3.98,male
LukeIAmYourFather,"['Luke', 'I', 'Am', 'Your', 'Father']",['father'],[7.06],"['luke', 'i', 'am', 'your']",,[2],happy,"['AbandonShipping', 'AdaptationalContextChange', 'AfterTheEnd', 'ArchEnemy', 'BeamMeUpScotty', 'CainAndAbel', 'CallingTheOldManOut', 'CerebusRetcon', 'ChewingTheScenery', 'CorruptCorporateExecutive', 'DiscreditedTrope', 'DramaticIrony', 'EnforcedMethodActing', 'FakingTheDead', 'FallenHero', 'FamilyTropes', 'FamilyTwistsIndex', 'HumanAliens', 'IAmAnIndex', 'IHaveManyNames', 'IKnowYoureInThereSomewhereFight', 'IfICantHaveYou', 'IndexOfGothicHorrorTropes', 'Jossed', 'LaserGuidedKarma', 'LateArrivalSpoiler', 'LukeIAmYourFather', 'MenAreTough', 'NarrativeDevices', 'NonProtagonistResolver', 'OlderThanFeudalism', 'OncePerEpisode', 'TheOnlyOneAllowedToDefeatYou', 'OnlyOneName', 'OverdosedTropes', 'TheParentTrope', 'ParentalIssues', 'TheReveal', 'Revenge', 'RussianReversal', 'SexIsEvil', 'ShockingMoments', 'ShoutOutsIndex', 'SnarkBait', 'SpaceOpera', 'StarCrossedLovers', 'StockParodies', 'StockShoutOuts', 'TangledFamilyTree', 'ThatCameOutWrong', 'ThickerThanWater', 'ThisIndexIsNotAnExample', 'TomatoInTheMirror', 'TrailersAlwaysSpoil', 'TropeNamesFromMemes', 'TheUnReveal', 'UndeadHorseTrope', 'UnisexTropes', 'TheUnpronounceable', 'UnwittingPawn', 'VictorianLondon', 'VideoSource', 'WeCanRuleTogether']","['NarrativeTropes', 'TopicalTropes']",7.06,male
RobotGirl,"['Robot', 'Girl']",['girl'],[7.0],['robot'],TopicalTropes,[2],happy,"['AlwaysFemale', 'ArbitrarySkepticism', 'AttackAnimal', 'BFG', 'TheBadGuyWins', 'BalefulPolymorph', 'BlatantLies', 'BondOneLiner', 'CanonWelding', 'CharacterBlog', 'ChildSoldiers', 'ClingyJealousGirl', 'CreepyChild', 'CreepyPasta', 'CuteMonsterGirl', 'DeconstructorFleet', 'DownloadableContent', 'DudeNotFunny', 'DysfunctionJunction', 'EvilIsSexy', 'FishOutOfTemporalWater', 'HappinessInSlavery', 'HotSpringsEpisode', 'IHaveManyNames', 'ImportantHaircut', 'LadyOfWar', 'LittleBitBeastly', 'LoveInterests', 'MissionControl', 'MonoNoAware', 'NoNameGiven', 'OlderThanFeudalism', 'OthernessTropes', 'OvershadowedByAwesome', 'PowerIncontinence', 'PoweredByAForsakenChild', 'ThePromise', 'ReplacementGoldfish', 'RidiculouslyHumanRobots', 'Robot', 'RobotRollCall', 'SciFiWebcomics', 'ShipTease', 'SignatureStyle', 'SlidingScaleOfAnthropomorphism', 'SquarePegRoundTrope', 'StarCrossedLovers', 'SuperpowerLottery', 'TangledFamilyTree', 'TomatoInTheMirror', 'TheUnReveal', 'UnusualEars', 'WeirdnessCensor', 'WhatTheHellIsThatAccent']",['TopicalTropes'],7.0,female
PoliticallyActivePrincess,"['Politically', 'Active', 'Princess']","['politically', 'active', 'princess']","[4.2, 6.82, 7.08]",[],,"[-1, 1, 2]",happy,"['AdverblyAdjectiveNoun', 'AlwaysFemale', 'CharactersAsDevice', 'MenActWomenAre', 'PoliticsTropes', 'PrincessTropes', 'RoyalsWhoActuallyDoSomething']","['NarrativeTropes', 'TopicalTropes']",6.03,female
LongHairedPrettyBoy,"['Long', 'Haired', 'Pretty', 'Boy']",['pretty'],[7.32],"['long', 'haired', 'boy']",TopicalTropes,[2],happy,"['APrettyBoyIndex', 'AdaptationDyeJob', 'AnimeHair', 'TheBeautifulTropes', 'BeautyEqualsGoodness', 'BoysLoveTropes', 'ContrastingSequelMainCharacter', 'Deathcore', 'EvenTheGuysWantHim', 'EvilIsSexy', 'ExpositoryHairstyles', 'FaceOfTheBand', 'HairMetal', 'HairTropes', 'HaremGenre', 'ImportantHaircut', 'InTouchWithHisFeminineSide', 'LongHairIsFeminine', 'MasculineGirlFeminineBoy', 'MeaningfulAppearance', 'MenAreTough', 'TheNewTens', 'OutdatedByCanon', 'QueerRomance', 'VisualKei', 'YaoiGenre']",['TopicalTropes'],7.32,male
WorldOfMuscleMen,"['World', 'Of', 'Muscle', 'Men']",['world'],[6.52],"['of', 'muscle', 'men']",,[1],happy,"['ListOfBadassTropes', 'MenAreTough', 'MuscularIndex', 'SettingGimmicks']",[],6.52,male
MasculineGirlFeminineBoy,"['Masculine', 'Girl', 'Feminine', 'Boy']",['girl'],[7.0],"['masculine', 'feminine', 'boy']",,[2],happy,"['TheAce', 'DuoTropes', 'TheEighties', 'Ensembles', 'FemininityTropes', 'FiveManBand', 'Foil', 'GenderAndSexualityTropes', 'GenderBlendingTropes', 'GenderDynamicsIndex', 'HasAType', 'InTouchWithHisFeminineSide', 'IndexOfRomanticCouples', 'LittleBitBeastly', 'LoveHurts', 'MasculinityTropes', 'MenAreTough', 'ShipMates', 'Tomboy', 'WomanlinessAsPathos', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",7.0,
GaussianGirl,"['Gaussian', 'Girl']",['girl'],[7.0],['gaussian'],,[2],happy,"['AlwaysFemale', 'CameraTricks', 'HomoeroticSubtext', 'LoveTropes', 'PowerGlows', 'RuleOfGlamorous']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",7.0,female
IWasBeatenByAGirl,"['I', 'Was', 'Beaten', 'By', 'A', 'Girl']","['beaten', 'girl']","[2.62, 7.0]","['i', 'was', 'by', 'a']",GenreTropes,"[-3, 2]",not happy,"['ComedyTropes', 'MenAreTough', 'ShowingUpChauvinists', 'WomanlinessAsPathos', 'WouldHitAGirl']",['GenreTropes'],4.81,female
MoreDeadlyThanTheMale,"['More', 'Deadly', 'Than', 'The', 'Male']",['deadly'],[2.9],"['more', 'than', 'the', 'male']",,[-2],not happy,"['ActionGirl', 'DiscreditedTrope', 'GenderAndSexualityTropes', 'HiddenBadass', 'HiddenDepths', 'ListOfBadassTropes', 'MenAreTough', 'MoreThanMeetsTheEye', 'WomenAreDelicate', 'WouldHitAGirl']","['NarrativeTropes', 'TopicalTropes']",2.9,male
CuteMonsterGirl,"['Cute', 'Monster', 'Girl']","['cute', 'monster', 'girl']","[7.52, 3.46, 7.0]",[],,"[2, -2, 2]",happy,"['AlwaysChaoticEvil', 'AlwaysFemale', 'AuthorAppeal', 'BadassAdorable', 'BeautyEqualsGoodness', 'BigCreepyCrawlies', 'BizarreAlienBiology', 'TheComputerIsACheatingBastard', 'ContemptibleCover', 'DarkFic', 'DealWithTheDevil', 'DemiHuman', 'DependingOnTheArtist', 'DistaffCounterpart', 'DontExplainTheJoke', 'DoubleStandard', 'DownloadableContent', 'Ecchi', 'EmbellishedWebcomics', 'EvilIsSexy', 'ExtranormalInstitute', 'EyeBeams', 'FantasyPantheon', 'FourFingeredHands', 'GenderBender', 'GenderDynamicsIndex', 'GirlGroup', 'HalfHumanHybrid', 'HappilyAdopted', 'HorrorWebcomics', 'HumanAliens', 'IndexOfFictionalCreatures', 'InterracialAndInterspeciesLoveIndex', 'JustInTime', 'LampshadeHanging', 'LittleBitBeastly', 'LongSongShortScene', 'LoveRedeems', 'Moe', 'MonstrousHumanoid', 'NakedPeopleAreFunny', 'NightmareFuelStationAttendant', 'NoodleImplements', 'OddballInTheSeries', 'OurWerebeastsAreDifferent', 'OutdatedByCanon', 'OverdosedTropes', 'PinkMeansFeminine', 'PlantPerson', 'PowerIncontinence', 'ProtagonistCenteredMorality', 'ReplacementScrappy', 'RuleOfCute', 'SadlyMythtaken', 'SlasherSmile', 'SlidingScaleOfAnthropomorphism', 'TakingYouWithMe', 'ThirdPersonPerson', 'TrueCompanions', 'UnusualEars', 'UrbanFantasyTropes', 'VindicatedByHistory', 'WeirdWest', 'TheWestern', 'WholePlotReference', 'WikiSandbox', 'Youkai']","['NarrativeTropes', 'TopicalTropes']",5.99,female
FemaleEmpowermentSong,"['Female', 'Empowerment', 'Song']","['female', 'song']","[6.88, 7.58]",['empowerment'],MediaTropes,"[2, 2]",happy,"['AlwaysFemale', 'MusicTropes', 'PagesNeedingWicks']",['MediaTropes'],7.23,female
DragQueen,"['Drag', 'Queen']",['drag'],[4.14],['queen'],TopicalTropes,[-1],not happy,"['AbhorrentAdmirer', 'Crossdresser', 'DoubleEntendre', 'DoubleStandardAbuseFemaleOnMale', 'FaceOfAThug', 'FanDisservice', 'GenderBlendingTropes', 'HomophobiaIndex', 'IHaveNoSon', 'MarshmallowHell', 'MasculineGirlFeminineBoy', 'PimpedOutDress', 'PunnyName', 'QueerAsTropes', 'StormingTheCastle', 'Transgender', 'WeAllLiveInAmerica', 'WeirdnessCensor']",['TopicalTropes'],4.14,female
StrongGirlSmartGuy,"['Strong', 'Girl', 'Smart', 'Guy']","['strong', 'girl', 'smart']","[7.06, 7.0, 7.48]",['guy'],,"[2, 2, 2]",happy,"['ActionGirl', 'DuoTropes', 'Ensembles', 'Foil', 'IndexOfRomanticCouples', 'MenAreTough', 'Tomboy', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",7.18,
GirlPosse,"['Girl', 'Posse']",['girl'],[7.0],['posse'],,[2],happy,"['AFriendInNeed', 'AdaptationExpansion', 'AlphaBitch', 'AlwaysFemale', 'AttackAnimal', 'AudienceAlienatingPremise', 'BrownNote', 'TheBully', 'CaptainErsatz', 'CharactersAsDevice', 'ChekhovsGunman', 'ClingyJealousGirl', 'DesignatedHero', 'Ensembles', 'EvilIsSexy', 'Goth', 'GroceryStoreEpisode', 'HorrorWebcomics', 'TheJerkIndex', 'KickTheSonOfABitch', 'MemeticPersonalityChange', 'MuggingTheMonster', 'NakedPeopleAreFunny', 'PopularityFoodChain', 'PowerTrio', 'ProtagonistCenteredMorality', 'SchoolTropes', 'ShrinkingViolet', 'TerribleTrio', 'UnbuiltTrope', 'UnwittingInstigatorOfDoom', 'Villains', 'WomanlinessAsPathos', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",7.0,female
GoodOlBoy,"['Good', 'Ol', 'Boy']",['good'],[7.2],"['ol', 'boy']",,[2],happy,"['AlwaysMale', 'DoesNotLikeShoes', 'IndexedStatesOfAmerica', 'LowerClassLout', 'MenAreTough', 'NationalStereotypes', 'Settings', 'StandardSnippet', 'WeirdnessCensor']","['NarrativeTropes', 'TopicalTropes']",7.2,male
WifeBasherBasher,"['Wife', 'Basher', 'Basher']",['wife'],[6.62],"['basher', 'basher']",,[1],happy,"['DamselInDistress', 'DefendsAgainstTheirOwnKind', 'DistractedByTheSexy', 'DomesticAbuse', 'EveryoneHasStandards', 'GenderDynamicsIndex', 'HiddenDepths', 'TheJerkIndex', 'MoralityTropes', 'PayEvilUntoEvil', 'ProtectiveTropes', 'VerySpecialEpisode', 'WomanlinessAsPathos', 'WouldHitAGirl']","['NarrativeTropes', 'TopicalTropes']",6.62,female
WomenDrivers,"['Women', 'Drivers']",['women'],[7.12],['drivers'],TopicalTropes,[2],happy,"['AlwaysFemale', 'DiscreditedTrope', 'DoubleStandard', 'DrivesLikeCrazy', 'TheRoaringTwenties', 'VehicleIndex', 'WomanlinessAsPathos', 'WomenAreDelicate']",['TopicalTropes'],7.12,female
MenDontCry,"['Men', 'Dont', 'Cry']","['dont', 'cry']","[3.7, 1.84]",['men'],,"[-2, -4]",not happy,"['DoubleStandard', 'GenderDynamicsIndex', 'GenreTurningPoint', 'ManlyTears', 'MasculinityTropes', 'MenAreTough', 'SadnessTropes', 'Stereotype', 'TearTropes']","['NarrativeTropes', 'TopicalTropes']",2.77,male
LukeIMightBeYourFather,"['Luke', 'I', 'Might', 'Be', 'Your', 'Father']",['father'],[7.06],"['luke', 'i', 'might', 'be', 'your']",TopicalTropes,[2],happy,"['FamilyTwistsIndex', 'LukeIAmYourFather', 'MenAreTough', 'PaternityTropes', 'ShoutOutsIndex', 'ThisIndexIsNotAnExample', 'ThisMightBeAnIndex', 'UnisexTropes']",['TopicalTropes'],7.06,male
DarkMagicalGirl,"['Dark', 'Magical', 'Girl']","['dark', 'magical', 'girl']","[3.82, 7.38, 7.0]",[],,"[-2, 2, 2]",happy,"['AdaptationExpansion', 'AlwaysFemale', 'AnimalStereotypes', 'AntiVillain', 'BrokenBird', 'CharactersAsDevice', 'ClarkKenting', 'ContrastingSequelAntagonist', 'CuteMonsterGirl', 'DarkAndTroubledPast', 'DeconstructedTrope', 'DefeatMeansFriendship', 'DistressedDude', 'ElementalPowers', 'EvilCounterpart', 'EvilIsSexy', 'EvilPlan', 'FrillsOfJustice', 'GreenEyedMonster', 'HeartIsAnAwesomePower', 'IKnowYourTrueName', 'IncestSubtext', 'Jossed', 'JustHereForGodzilla', 'LackOfEmpathy', 'LotusEaterMachine', 'MagicAndPowers', 'MagicalGirlTropes', 'TheManBehindTheMan', 'ParentalAbandonment', 'RedHerring', 'RescuedFromTheScrappyHeap', 'RoyalsWhoActuallyDoSomething', 'SlidingScaleOfAntagonistVileness', 'SolitaryTropes', 'StarCrossedLovers', 'StockJapaneseCharacters', 'Supervillain', 'Villains', 'WeCanRuleTogether', 'WeirdnessCensor', 'WhatIf', 'WomanlinessAsPathos', 'YouLookFamiliar']","['NarrativeTropes', 'TopicalTropes']",6.07,female
MagicalGirlAU,"['Magical', 'Girl', 'AU']","['magical', 'girl']","[7.38, 7.0]",['au'],,"[2, 2]",happy,"['Fanfic', 'FanficTropes', 'MagicalGirlTropes']",[],7.19,female
